total_wage,num_in_field,field
3026692.0,99,"Office and Administrative Support Workers, All Oth"
5727995.0,98,BIOINFORMATICS SCIENTISTS
5921390.0,98,"COMPUTER PROGRAMMERS, NON R&D"
3063677.0,97,TAX PREPARERS
4405601.0,93,Biophysicists
4454212.0,91,MUSICIANS AND SINGERS
5096387.0,90,"ANTHROPOLOGY AND ARCHEOLOGY TEACHERS,"
3738819.0,90,BROADCAST NEWS ANALYSTS
5717066.0,89,"Computer Software Engineers, Systems Software, Non"
4629978.0,88,FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS
4301484.0,87,"AGENTS AND BUSINESS MANAGERS OF ARTISTS,"
7886842.0,87,"SALES AGENTS, SECURITIES AND COMMODITIES"
4718273.0,86,CONSERVATION SCIENTISTS
5608104.0,86,VALIDATION ENGINEERS
4860043.0,85,"Computer Software Engineers, Systems Software,R&D"
5657786.0,85,"SALES AGENTS, FINANCIAL SERVICES"
5827331.0,84,"Health and Safety Engineers, Except Mining Safety "
4878608.0,81,"MECHANICAL ENGINEERS, NON R&D"
3854847.0,80,"COMMUNITY AND SOCIAL SERVICE SPECIALISTS, ALL"
3063641.0,80,"FIRST-LINE SUPERVISORS OF FARMING, FISHING, AND FO"
2907658.0,80,PHOTOGRAPHERS
3992420.0,79,"Computer Systems Analysts, R&D (ACWIA Only)"
7439579.0,79,ORAL AND MAXILLOFACIAL SURGEONS
2862229.0,77,"EDUCATION, TRAINING, AND LIBRARY WORKERS, ALL"
3973820.0,77,ELECTRICAL AND ELECTRONICS DRAFTERS
2554791.0,75,"HEALTHCARE SUPPORT WORKERS, ALL OTHER"
4001258.0,74,"CLAIMS ADJUSTERS, EXAMINERS, AND INVESTIGATORS"
4337888.0,74,WEB ADMINISTRATORS
2937459.0,73,Executive Secretaries and Administrative Assistant
3066773.0,73,Medical and Public Health Social Workers
3138764.0,73,"THERAPISTS, ALL OTHER*"
3422067.0,72,"BUYERS AND PURCHASING AGENTS, FARM PRODUCTS"
2538824.0,72,"Human Resources Assistants, Except Payroll and Tim"
7133559.0,72,TEACHER ASSISTANTS
2632135.0,71,FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS
3207002.0,69,APPRAISERS AND ASSESSORS OF REAL ESTATE
3846765.0,69,DATA WAREHOUSING SPECIALISTS
3207662.0,68,BIOLOGISTS
3132769.0,68,"CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS,"
1920645.0,68,"SECRETARIES AND ADMINISTRATIVE ASSISTANTS, EXCEPT"
2007757.0,68,VETERINARY TECHNOLOGISTS AND TECHNICIANS
